date,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST,foreAdjustFactor,factor,adjustFactor,vwap,code
2024-01-03,3379.7501,3392.8504,3362.6617,3378.2971,3386.3522,10561385100.0,165099018642.5,0.341667,1.0,-0.23787,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.632326354854724,SH000300
2024-01-04,3375.0207,3375.0207,3323.8647,3347.0519,3378.2971,10672101300.0,165512262698.6,0.345235,1.0,-0.92488,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.508872905713517,SH000300
2024-01-05,3341.3061,3372.5444,3313.5542,3329.1114,3347.0519,12640057400.0,182251664948.1,0.408897,1.0,-0.536009,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.418578902030935,SH000300
2024-01-08,3322.6051,3333.516,3283.3421,3286.0564,3329.1114,11742948500.0,170761644873.4,0.379561,1.0,-1.293288,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.541632782720626,SH000300
2024-01-09,3286.7083,3304.6008,3273.8431,3292.4994,3286.0564,10933046500.0,172276323045.2,0.353382,1.0,0.196071,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.75739415772173,SH000300
2024-01-10,3281.6692,3312.9161,3268.2471,3277.129,3292.4994,9419936600.0,159777649838.1,0.30448,1.0,-0.466831,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.961648111103,SH000300
2024-01-11,3275.3086,3311.1137,3266.7911,3295.6717,3277.129,10878973500.0,180978533555.5,0.351652,1.0,0.565821,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.635625921462168,SH000300
2024-01-12,3284.358,3310.4704,3279.6987,3284.1667,3295.6717,9685355500.0,156536022291.9,0.313069,1.0,-0.349094,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.16213491512005,SH000300
2024-01-15,3270.1029,3306.9217,3261.2687,3280.9195,3284.1667,8885153000.0,144331722430.6,0.2872,1.0,-0.098874,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.24414598494815,SH000300
2024-01-16,3272.571,3300.8762,3260.4362,3300.8762,3280.9195,11327666500.0,175650587488.9,0.366149,1.0,0.608265,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.506334644377109,SH000300
2024-01-17,3291.1392,3291.1392,3229.082,3229.082,3300.8762,10876972800.0,173516385174.7,0.351579,1.0,-2.175004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.952635753092993,SH000300
2024-01-18,3214.2844,3279.2538,3171.6329,3274.7286,3229.082,17490916800.0,256784536828.0,0.565314,1.0,1.413609,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.681022142189825,SH000300
2024-01-19,3261.2393,3286.9415,3251.8136,3269.7763,3274.7286,11850140800.0,191261807098.8,0.383001,1.0,-0.151228,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.14004511227411,SH000300
2024-01-22,3262.4685,3281.4205,3193.1776,3218.9016,3269.7763,14870562800.0,225510031844.3,0.480611,1.0,-1.555908,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.164861940820423,SH000300
2024-01-23,3208.4316,3249.5306,3188.1259,3231.9329,3218.9016,12201200000.0,193791168624.2,0.394338,1.0,0.404837,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.882959760039997,SH000300
2024-01-24,3245.9592,3281.4892,3190.4674,3277.1089,3231.9329,15437195400.0,219036341624.5,0.498924,1.0,1.397801,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.188868894183978,SH000300
2024-01-25,3274.3391,3344.2426,3269.7943,3342.9189,3277.1089,19683361400.0,265521114954.3,0.636158,1.0,2.008173,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.489622506971802,SH000300
2024-01-26,3326.6465,3351.9692,3315.1265,3333.8213,3342.9189,18066400500.0,238144899501.0,0.583893,1.0,-0.272145,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.181646200138207,SH000300
